name,culture,house,house2,id,label,title,gender,superculture
Alys Arryn,Unknown Culture,House Arryn,NA,Alys Arryn,Alys Arryn,Alys Arryn,female,Unknown Culture
Elys Waynwood,Unknown Culture,House Waynwood,NA,Elys Waynwood,Elys Waynwood,Elys Waynwood,female,Unknown Culture
Jasper Arryn,Unknown Culture,House Arryn,NA,Jasper Arryn,Jasper Arryn,Jasper Arryn,male,Unknown Culture
Jeyne Royce,Unknown Culture,House Royce,NA,Jeyne Royce,Jeyne Royce,Jeyne Royce,female,Unknown Culture
Jon Arryn,Valemen,House Arryn,NA,Jon Arryn,Jon Arryn,Jon Arryn,male,Valemen
Lysa Arryn,Unknown Culture,House Tully,House Tully,Lysa Arryn,Lysa Arryn,Lysa Arryn,female,Unknown Culture
Robert Arryn,Valemen,House Arryn,NA,Robert Arryn,Robert Arryn,Robert Arryn,male,Valemen
Rowena Arryn,Unknown Culture,House Arryn,NA,Rowena Arryn,Rowena Arryn,Rowena Arryn,female,Unknown Culture
Cassana Baratheon,Unknown Culture,House Baratheon,House Baratheon,Cassana Baratheon,Cassana Baratheon,Cassana Baratheon,female,Unknown Culture
Cersei Lannister,Westerlands,House Lannister,House Lannister,Cersei Lannister,Cersei Lannister,Cersei Lannister,female,Wester Cultures
Jaime Lannister,Westerlands,House Lannister,House Lannister,Jaime Lannister,Jaime Lannister,Jaime Lannister,male,Wester Cultures
Joffrey Baratheon,Unknown Culture,House Baratheon,House Baratheon,Joffrey Baratheon,Joffrey Baratheon,Joffrey Baratheon,male,Unknown Culture
Margaery Tyrell,Reach,House Tyrell,House Tyrell,Margaery Tyrell,Margaery Tyrell,Margaery Tyrell,female,Reach Cultures
Myrcella Baratheon,Unknown Culture,House Baratheon,House Baratheon,Myrcella Baratheon,Myrcella Baratheon,Myrcella Baratheon,female,Unknown Culture
Ormund Baratheon,Unknown Culture,House Baratheon,House Baratheon,Ormund Baratheon,Ormund Baratheon,Ormund Baratheon,male,Unknown Culture
Renly Baratheon,Stormlands,House Baratheon,House Baratheon,Renly Baratheon,Renly Baratheon,Renly Baratheon,male,Stormlands
Rhaelle Targaryen,Unknown Culture,House Targaryen,House Targaryen,Rhaelle Targaryen,Rhaelle Targaryen,Rhaelle Targaryen,female,Unknown Culture
Robert Baratheon,Unknown Culture,House Baratheon,House Baratheon,Robert Baratheon,Robert Baratheon,Robert Baratheon,male,Unknown Culture
Selyse Florent,Unknown Culture,House Florent,NA,Selyse Florent,Selyse Florent,Selyse Florent,female,Unknown Culture
Shireen Baratheon,Unknown Culture,House Baratheon,House Baratheon,Shireen Baratheon,Shireen Baratheon,Shireen Baratheon,female,Unknown Culture
Stannis Baratheon,Unknown Culture,House Baratheon,House Baratheon,Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,male,Unknown Culture
Steffon Baratheon,Unknown Culture,House Baratheon,House Baratheon,Steffon Baratheon,Steffon Baratheon,Steffon Baratheon,male,Unknown Culture
Tommen Baratheon,Unknown Culture,House Baratheon,House Baratheon,Tommen Baratheon,Tommen Baratheon,Tommen Baratheon,male,Unknown Culture
Amarei Crakehall,Unknown Culture,House Crakehall,NA,Amarei Crakehall,Amarei Crakehall,Amarei Crakehall,female,Unknown Culture
Amerei Frey,Unknown Culture,House Frey,House Frey,Amerei Frey,Amerei Frey,Amerei Frey,female,Unknown Culture
Benfrey Frey,Unknown Culture,House Frey,House Frey,Benfrey Frey,Benfrey Frey,Benfrey Frey,male,Unknown Culture
Bethany Rosby,Unknown Culture,House Rosby,NA,Bethany Rosby,Bethany Rosby,Bethany Rosby,female,Unknown Culture
Cleos Frey,Unknown Culture,House Frey,House Frey,Cleos Frey,Cleos Frey,Cleos Frey,male,Unknown Culture
Dorna Swyft,Unknown Culture,House Swyft,NA,Dorna Swyft,Dorna Swyft,Dorna Swyft,female,Unknown Culture
Edmure Tully,Rivermen,House Tully,House Tully,Edmure Tully,Edmure Tully,Edmure Tully,male,River Cultures
Emmon Frey,Unknown Culture,House Frey,House Frey,Emmon Frey,Emmon Frey,Emmon Frey,male,Unknown Culture
Genna Lannister,Unknown Culture,House Lannister,House Lannister,Genna Lannister,Genna Lannister,Genna Lannister,female,Unknown Culture
Jeyne Darry,Westeros,House Darry,NA,Jeyne Darry,Jeyne Darry,Jeyne Darry,female,Wester Cultures
Jyanna Frey,Unknown Culture,House Frey,House Frey,Jyanna Frey,Jyanna Frey,Jyanna Frey,female,Unknown Culture
Kevan Lannister,Unknown Culture,House Lannister,House Lannister,Kevan Lannister,Kevan Lannister,Kevan Lannister,male,Unknown Culture
Lancel Lannister,Unknown Culture,House Lannister,House Lannister,Lancel Lannister,Lancel Lannister,Lancel Lannister,male,Unknown Culture
Lyonel Frey,Unknown Culture,House Frey,House Frey,Lyonel Frey,Lyonel Frey,Lyonel Frey,female,Unknown Culture
Marissa Frey,Unknown Culture,House Frey,House Frey,Marissa Frey,Marissa Frey,Marissa Frey,female,Unknown Culture
Mariya Darry,Unknown Culture,House Darry,NA,Mariya Darry,Mariya Darry,Mariya Darry,female,Unknown Culture
Melesa Crakehall,Unknown Culture,House Crakehall,NA,Melesa Crakehall,Melesa Crakehall,Melesa Crakehall,female,Unknown Culture
Merrett Frey,Riverlands,House Frey,House Frey,Merrett Frey,Merrett Frey,Merrett Frey,male,River Cultures
Olyvar Frey,Unknown Culture,House Frey,House Frey,Olyvar Frey,Olyvar Frey,Olyvar Frey,male,Unknown Culture
Pate of the Blue Fork,Unknown Culture,House Frey,House Frey,Pate of the Blue Fork,Pate of the Blue Fork,Pate of the Blue Fork,male,Unknown Culture
Perra Royce,Unknown Culture,House Royce,NA,Perra Royce,Perra Royce,Perra Royce,female,Unknown Culture
Perwyn Frey,Unknown Culture,House Frey,House Frey,Perwyn Frey,Perwyn Frey,Perwyn Frey,male,Unknown Culture
Roose Bolton,Northmen,House Bolton,NA,Roose Bolton,Roose Bolton,Roose Bolton,male,Northmen
Roslin Frey,Rivermen,House Frey,House Frey,Roslin Frey,Roslin Frey,Roslin Frey,male,River Cultures
Tion Frey,Unknown Culture,House Frey,House Frey,Tion Frey,Tion Frey,Tion Frey,male,Unknown Culture
Tywin Frey,Unknown Culture,House Frey,House Frey,Tywin Frey,Tywin Frey,Tywin Frey,male,Unknown Culture
Walda Frey daughter of Merrett,Unknown Culture,House Frey,House Frey,Walda Frey daughter of Merrett,Walda Frey daughter of Merrett,Walda Frey daughter of Merrett,female,Unknown Culture
Walder Frey,Rivermen,House Frey,House Frey,Walder Frey,Walder Frey,Walder Frey,male,River Cultures
Walder Frey son of Emmon,Unknown Culture,House Frey,House Frey,Walder Frey son of Emmon,Walder Frey son of Emmon,Walder Frey son of Emmon,female,Unknown Culture
Walder Frey son of Merrett,Unknown Culture,House Frey,House Frey,Walder Frey son of Merrett,Walder Frey son of Merrett,Walder Frey son of Merrett,male,Unknown Culture
Willamen Frey,Unknown Culture,House Frey,House Frey,Willamen Frey,Willamen Frey,Willamen Frey,male,Unknown Culture
Willem Frey,Unknown Culture,House Frey,House Frey,Willem Frey,Willem Frey,Willem Frey,male,Unknown Culture
Aeron Greyjoy,Ironmen,House Greyjoy,House Greyjoy,Aeron Greyjoy,Aeron Greyjoy,Aeron Greyjoy,male,Iron Cultures
Alannys Harlaw,Ironborn,House Harlaw,NA,Alannys Harlaw,Alannys Harlaw,Alannys Harlaw,female,Iron Cultures
Asha (Yara) Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Asha (Yara) Greyjoy,Asha (Yara) Greyjoy,Asha (Yara) Greyjoy,female,Iron Cultures
Balon Greyjoy,Unknown Culture,House Greyjoy,House Greyjoy,Balon Greyjoy,Balon Greyjoy,Balon Greyjoy,male,Unknown Culture
Donel Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Donel Greyjoy,Donel Greyjoy,Donel Greyjoy,male,Iron Cultures
Erik Ironmaker,Ironborn,House Ironmaker,NA,Erik Ironmaker,Erik Ironmaker,Erik Ironmaker,male,Iron Cultures
Euron Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Euron Greyjoy,Euron Greyjoy,Euron Greyjoy,male,Iron Cultures
Harlon Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Harlon Greyjoy,Harlon Greyjoy,Harlon Greyjoy,male,Iron Cultures
Lady of House Piper,Unknown Culture,House Piper,NA,Lady of House Piper,Lady of House Piper,Lady of House Piper,female,Unknown Culture
Lady of House Stonetree,Unknown Culture,House Stonetree,NA,Lady of House Stonetree,Lady of House Stonetree,Lady of House Stonetree,female,Unknown Culture
Lady of House Sunderly,Unknown Culture,House Sunderly,NA,Lady of House Sunderly,Lady of House Sunderly,Lady of House Sunderly,female,Unknown Culture
Maron Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Maron Greyjoy,Maron Greyjoy,Maron Greyjoy,male,Iron Cultures
Quellon Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Quellon Greyjoy,Quellon Greyjoy,Quellon Greyjoy,male,Iron Cultures
Quenton Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Quenton Greyjoy,Quenton Greyjoy,Quenton Greyjoy,male,Iron Cultures
Robin Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Robin Greyjoy,Robin Greyjoy,Robin Greyjoy,male,Iron Cultures
Rodrik Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Rodrik Greyjoy,Rodrik Greyjoy,Rodrik Greyjoy,male,Iron Cultures
Theon Greyjoy,Ironmen,House Greyjoy,House Greyjoy,Theon Greyjoy,Theon Greyjoy,Theon Greyjoy,male,Iron Cultures
Urrigon Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Urrigon Greyjoy,Urrigon Greyjoy,Urrigon Greyjoy,male,Iron Cultures
Victarion Greyjoy,Ironborn,House Greyjoy,House Greyjoy,Victarion Greyjoy,Victarion Greyjoy,Victarion Greyjoy,male,Iron Cultures
Alys Stackspear,Unknown Culture,House Stackspear,NA,Alys Stackspear,Alys Stackspear,Alys Stackspear,female,Unknown Culture
Alysanne Farman,Unknown Culture,House Farman,NA,Alysanne Farman,Alysanne Farman,Alysanne Farman,female,Unknown Culture
Antario Jast,Unknown Culture,House Jast,NA,Antario Jast,Antario Jast,Antario Jast,male,Unknown Culture
Cerenna Lannister,Unknown Culture,House Lannister,House Lannister,Cerenna Lannister,Cerenna Lannister,Cerenna Lannister,female,Unknown Culture
Cerissa Brax,Unknown Culture,House Brax,NA,Cerissa Brax,Cerissa Brax,Cerissa Brax,female,Unknown Culture
Damion Lannister,Unknown Culture,House Lannister,House Lannister,Damion Lannister,Damion Lannister,Damion Lannister,male,Unknown Culture
Damon Lannister,Westerman,House Lannister,House Lannister,Damon Lannister,Damon Lannister,Damon Lannister,male,Wester Cultures
Damon Lannister son of Jason,Unknown Culture,House Lannister,House Lannister,Damon Lannister son of Jason,Damon Lannister son of Jason,Damon Lannister son of Jason,male,Unknown Culture
Darlessa Marbrand,Unknown Culture,House Marbrand,NA,Darlessa Marbrand,Darlessa Marbrand,Darlessa Marbrand,female,Unknown Culture
Daven Lannister,Westerman,House Lannister,House Lannister,Daven Lannister,Daven Lannister,Daven Lannister,male,Wester Cultures
Ella Lannister,Unknown Culture,House Lannister,House Lannister,Ella Lannister,Ella Lannister,Ella Lannister,female,Unknown Culture
Ermesande Hayford,Unknown Culture,House Hayford,NA,Ermesande Hayford,Ermesande Hayford,Ermesande Hayford,female,Unknown Culture
Gerion Lannister,Unknown Culture,House Lannister,House Lannister,Gerion Lannister,Gerion Lannister,Gerion Lannister,male,Unknown Culture
Gerold Lannister,Westerman,House Lannister,House Lannister,Gerold Lannister,Gerold Lannister,Gerold Lannister,male,Wester Cultures
Jason Lannister,Unknown Culture,House Lannister,House Lannister,Jason Lannister,Jason Lannister,Jason Lannister,male,Unknown Culture
Jeyne Marbrand,Unknown Culture,House Marbrand,NA,Jeyne Marbrand,Jeyne Marbrand,Jeyne Marbrand,female,Unknown Culture
Joanna Lannister,Westerman,House Lannister,House Lannister,Joanna Lannister,Joanna Lannister,Joanna Lannister,female,Wester Cultures
Lanna Lannister,Unknown Culture,House Lannister,House Lannister,Lanna Lannister,Lanna Lannister,Lanna Lannister,female,Unknown Culture
Lucion Lannister,Unknown Culture,House Lannister,House Lannister,Lucion Lannister,Lucion Lannister,Lucion Lannister,female,Unknown Culture
Marla Prester,Unknown Culture,House Prester,NA,Marla Prester,Marla Prester,Marla Prester,female,Unknown Culture
Myranda Lefford,Unknown Culture,House Lefford,NA,Myranda Lefford,Myranda Lefford,Myranda Lefford,female,Unknown Culture
Myrielle Lannister,Unknown Culture,House Lannister,House Lannister,Myrielle Lannister,Myrielle Lannister,Myrielle Lannister,female,Unknown Culture
Rohanne Webber,Unknown Culture,House Webber,NA,Rohanne Webber,Rohanne Webber,Rohanne Webber,female,Unknown Culture
Sansa Stark,Northmen,House Stark,House Stark,Sansa Stark,Sansa Stark,Sansa Stark,female,Northmen
Shiera Crakehall,Unknown Culture,House Crakehall,NA,Shiera Crakehall,Shiera Crakehall,Shiera Crakehall,female,Unknown Culture
Stafford Lannister,Westerman,House Lannister,House Lannister,Stafford Lannister,Stafford Lannister,Stafford Lannister,male,Wester Cultures
Teora Kyndall,Unknown Culture,House Kyndall,NA,Teora Kyndall,Teora Kyndall,Teora Kyndall,female,Unknown Culture
Tybolt Lannister,Westerman,House Lannister,House Lannister,Tybolt Lannister,Tybolt Lannister,Tybolt Lannister,male,Wester Cultures
Tygett Lannister,Unknown Culture,House Lannister,House Lannister,Tygett Lannister,Tygett Lannister,Tygett Lannister,male,Unknown Culture
Tyrek Lannister,Unknown Culture,House Lannister,House Lannister,Tyrek Lannister,Tyrek Lannister,Tyrek Lannister,male,Unknown Culture
Tyrion Lannister,Unknown Culture,House Lannister,House Lannister,Tyrion Lannister,Tyrion Lannister,Tyrion Lannister,male,Unknown Culture
Tysha,Unknown Culture,House Tysha,NA,Tysha,Tysha,Tysha,male,Unknown Culture
Tytos Lannister,Unknown Culture,House Lannister,House Lannister,Tytos Lannister,Tytos Lannister,Tytos Lannister,male,Unknown Culture
Tywin Lannister,Unknown Culture,House Lannister,House Lannister,Tywin Lannister,Tywin Lannister,Tywin Lannister,male,Unknown Culture
Willem Lannister,Unknown Culture,House Lannister,House Lannister,Willem Lannister,Willem Lannister,Willem Lannister,male,Unknown Culture
Aegon Targaryen son of Rhaegar,Valyrian,House Targaryen,House Targaryen,Aegon Targaryen son of Rhaegar,Aegon Targaryen son of Rhaegar,Aegon Targaryen son of Rhaegar,male,Valyrian
Doran Martell,Dornish,House Martell,House Martell,Doran Martell,Doran Martell,Doran Martell,male,Dorn Cultures
Dorea Sand,Dornishmen,House Martell,House Martell,Dorea Sand,Dorea Sand,Dorea Sand,female,Dorn Cultures
Elia Martell,Unknown Culture,House Martell,House Martell,Elia Martell,Elia Martell,Elia Martell,female,Unknown Culture
Elia Sand,Dornishmen,House Martell,House Martell,Elia Sand,Elia Sand,Elia Sand,female,Dorn Cultures
Ellaria Sand,Dornish,House Uller,NA,Ellaria Sand,Ellaria Sand,Ellaria Sand,female,Dorn Cultures
Loreza Sand,Dorne,House Martell,House Martell,Loreza Sand,Loreza Sand,Loreza Sand,female,Dorn Cultures
Mellario of Norvos,Unknown Culture,House Norvos,NA,Mellario of Norvos,Mellario of Norvos,Mellario of Norvos,female,Unknown Culture
Mors Martell brother of Doran,Unknown Culture,House Martell,House Martell,Mors Martell brother of Doran,Mors Martell brother of Doran,Mors Martell brother of Doran,male,Unknown Culture
Nymeria Sand,Dornishmen,House Martell,House Martell,Nymeria Sand,Nymeria Sand,Nymeria Sand,female,Dorn Cultures
Obara Sand,Dornish,House Martell,House Martell,Obara Sand,Obara Sand,Obara Sand,female,Dorn Cultures
Obella Sand,Dornishmen,House Martell,House Martell,Obella Sand,Obella Sand,Obella Sand,female,Dorn Cultures
Oberyn Martell,Dornishmen,House Martell,House Martell,Oberyn Martell,Oberyn Martell,Oberyn Martell,male,Dorn Cultures
Princess of Dorne,Unknown Culture,House Dorne,NA,Princess of Dorne,Princess of Dorne,Princess of Dorne,female,Unknown Culture
Rhaegar Targaryen,Valyrian,House Targaryen,House Targaryen,Rhaegar Targaryen,Rhaegar Targaryen,Rhaegar Targaryen,male,Valyrian
Rhaenys Targaryen daughter of Rhaegar,Unknown Culture,House Targaryen,House Targaryen,Rhaenys Targaryen daughter of Rhaegar,Rhaenys Targaryen daughter of Rhaegar,Rhaenys Targaryen daughter of Rhaegar,female,Unknown Culture
Sarella Sand,Dornishmen,House Martell,House Martell,Sarella Sand,Sarella Sand,Sarella Sand,female,Dorn Cultures
Tyene Sand,Dornish,House Martell,House Martell,Tyene Sand,Tyene Sand,Tyene Sand,female,Dorn Cultures
Alys Karstark,Northmen,House Karstark,NA,Alys Karstark,Alys Karstark,Alys Karstark,female,Northmen
Arra Norrey,Unknown Culture,House Norrey,NA,Arra Norrey,Arra Norrey,Arra Norrey,female,Unknown Culture
Artos Stark,Northmen,House Stark,House Stark,Artos Stark,Artos Stark,Artos Stark,male,Northmen
Arya Flint,Unknown Culture,House Flint,NA,Arya Flint,Arya Flint,Arya Flint,female,Unknown Culture
Arya Stark,Northmen,House Stark,House Stark,Arya Stark,Arya Stark,Arya Stark,female,Northmen
Benjen Stark,Northmen,House Stark,House Stark,Benjen Stark,Benjen Stark,Benjen Stark,male,Northmen
Beron Stark,Northmen,House Stark,House Stark,Beron Stark,Beron Stark,Beron Stark,male,Northmen
Bran Stark,Northmen,House Stark,House Stark,Bran Stark,Bran Stark,Bran Stark,male,Northmen
Brandon Stark,Northmen,House Stark,House Stark,Brandon Stark,Brandon Stark,Brandon Stark,male,Northmen
Brandon Stark Burner,Northmen,House Stark,House Stark,Brandon Stark Burner,Brandon Stark Burner,Brandon Stark Burner,male,Northmen
Brandon Stark son of Cregan,Northmen,House Stark,House Stark,Brandon Stark son of Cregan,Brandon Stark son of Cregan,Brandon Stark son of Cregan,male,Northmen
Catelyn Stark,Rivermen,House Tully,House Tully,Catelyn Stark,Catelyn Stark,Catelyn Stark,female,River Cultures
Cregan Stark,Northmen,House Stark,House Stark,Cregan Stark,Cregan Stark,Cregan Stark,male,Northmen
Eddard Stark,Northmen,House Stark,House Stark,Eddard Stark,Eddard Stark,Eddard Stark,male,Northmen
Edwyle Stark,Northmen,House Stark,House Stark,Edwyle Stark,Edwyle Stark,Edwyle Stark,male,Northmen
Gilliane Glover,Unknown Culture,House Glover,NA,Gilliane Glover,Gilliane Glover,Gilliane Glover,female,Unknown Culture
Jeyne Westerling,Westermen,House Westerling,NA,Jeyne Westerling,Jeyne Westerling,Jeyne Westerling,female,Wester Cultures
Jon Snow,Northmen,House Stark,House Stark,Jon Snow,Jon Snow,Jon Snow,male,Northmen
Jonnel Stark,Unknown Culture,House Stark,House Stark,Jonnel Stark,Jonnel Stark,Jonnel Stark,male,Unknown Culture
Lorra Royce,Unknown Culture,House Royce,NA,Lorra Royce,Lorra Royce,Lorra Royce,female,Unknown Culture
Lyanna Glover,Unknown Culture,House Glover,NA,Lyanna Glover,Lyanna Glover,Lyanna Glover,female,Unknown Culture
Lyanna Stark,Northmen,House Stark,House Stark,Lyanna Stark,Lyanna Stark,Lyanna Stark,female,Northmen
Lyarra Stark,Unknown Culture,House Stark,House Stark,Lyarra Stark,Lyarra Stark,Lyarra Stark,female,Unknown Culture
Lynara Stark,Unknown Culture,House Stark,House Stark,Lynara Stark,Lynara Stark,Lynara Stark,female,Unknown Culture
Lysara Karstark,Unknown Culture,House Karstark,NA,Lysara Karstark,Lysara Karstark,Lysara Karstark,female,Unknown Culture
Marna Locke,Unknown Culture,House Locke,NA,Marna Locke,Marna Locke,Marna Locke,female,Unknown Culture
Melantha Blackwood,Unknown Culture,House Blackwood,NA,Melantha Blackwood,Melantha Blackwood,Melantha Blackwood,female,Unknown Culture
Myriame Manderly,Unknown Culture,House Manderly,NA,Myriame Manderly,Myriame Manderly,Myriame Manderly,female,Unknown Culture
Ramsay Bolton,Unknown Culture,House Bolton,NA,Ramsay Bolton,Ramsay Bolton,Ramsay Bolton,male,Unknown Culture
Rickard Stark,Northmen,House Stark,House Stark,Rickard Stark,Rickard Stark,Rickard Stark,male,Northmen
Rickon Stark,Northmen,House Stark,House Stark,Rickon Stark,Rickon Stark,Rickon Stark,male,Northmen
Rickon Stark son of Benjen,Unknown Culture,House Stark,House Stark,Rickon Stark son of Benjen,Rickon Stark son of Benjen,Rickon Stark son of Benjen,male,Unknown Culture
Robb Stark,Unknown Culture,House Stark,House Stark,Robb Stark,Robb Stark,Robb Stark,male,Unknown Culture
Robyn Ryswell,Unknown Culture,House Ryswell,NA,Robyn Ryswell,Robyn Ryswell,Robyn Ryswell,female,Unknown Culture
Rodrik Stark,Northmen,House Stark,House Stark,Rodrik Stark,Rodrik Stark,Rodrik Stark,male,Northmen
Rodrik Stark son of Beron,Northmen,House Stark,House Stark,Rodrik Stark son of Beron,Rodrik Stark son of Beron,Rodrik Stark son of Beron,male,Northmen
Rodwell Stark,Northmen,House Stark,House Stark,Rodwell Stark,Rodwell Stark,Rodwell Stark,male,Northmen
Talisa Stark,Unknown Culture,House Stark,House Stark,Talisa Stark,Talisa Stark,Talisa Stark,female,Unknown Culture
Willam Stark,Northmen,House Stark,House Stark,Willam Stark,Willam Stark,Willam Stark,male,Northmen
Aegon V Targaryen,Unknown Culture,House Targaryen,House Targaryen,Aegon V Targaryen,Aegon V Targaryen,Aegon V Targaryen,male,Unknown Culture
Aerys II Targaryen,Unknown Culture,House Targaryen,House Targaryen,Aerys II Targaryen,Aerys II Targaryen,Aerys II Targaryen,male,Unknown Culture
Betha Blackwood,Unknown Culture,House Blackwood,NA,Betha Blackwood,Betha Blackwood,Betha Blackwood,female,Unknown Culture
Daenerys Targaryen,Valyrian,House Targaryen,House Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,female,Valyrian
Drogo,Dothraki,Dothraki,NA,Drogo,Drogo,Drogo,female,Dothraki
Duncan Targaryen,Unknown Culture,House Targaryen,House Targaryen,Duncan Targaryen,Duncan Targaryen,Duncan Targaryen,male,Unknown Culture
Dyanna Dayne,Unknown Culture,House Dayne,NA,Dyanna Dayne,Dyanna Dayne,Dyanna Dayne,female,Unknown Culture
Hizdahr zo Loraq,Ghiscari,House Loraq,NA,Hizdahr zo Loraq,Hizdahr zo Loraq,Hizdahr zo Loraq,male,Ghiscari
Jaehaerys II Targaryen,Unknown Culture,House Targaryen,House Targaryen,Jaehaerys II Targaryen,Jaehaerys II Targaryen,Jaehaerys II Targaryen,male,Unknown Culture
Jenny of Oldstones,Unknown Culture,House Oldstones,NA,Jenny of Oldstones,Jenny of Oldstones,Jenny of Oldstones,female,Unknown Culture
Maekar I Targaryen,Unknown Culture,House Targaryen,House Targaryen,Maekar I Targaryen,Maekar I Targaryen,Maekar I Targaryen,male,Unknown Culture
Maron Martell,Dornish,House Martell,House Martell,Maron Martell,Maron Martell,Maron Martell,male,Dorn Cultures
Rhaella Targaryen,Valyrian,House Targaryen,House Targaryen,Rhaella Targaryen,Rhaella Targaryen,Rhaella Targaryen,female,Valyrian
Shaera Targaryen,Unknown Culture,House Targaryen,House Targaryen,Shaera Targaryen,Shaera Targaryen,Shaera Targaryen,female,Unknown Culture
Viserys Targaryen,Valyrian,House Targaryen,House Targaryen,Viserys Targaryen,Viserys Targaryen,Viserys Targaryen,male,Valyrian
Hoster Tully,Rivermen,House Tully,House Tully,Hoster Tully,Hoster Tully,Hoster Tully,male,River Cultures
Minisa Whent,Rivermen,House Whent,NA,Minisa Whent,Minisa Whent,Minisa Whent,female,River Cultures
Petyr Baelish,Valemen,House Baelish,NA,Petyr Baelish,Petyr Baelish,Petyr Baelish,male,Valemen
Alerie Hightower,Unknown Culture,House Hightower,NA,Alerie Hightower,Alerie Hightower,Alerie Hightower,female,Unknown Culture
Elinor Tyrell,Unknown Culture,House Tyrell,House Tyrell,Elinor Tyrell,Elinor Tyrell,Elinor Tyrell,female,Unknown Culture
Elyn Norridge,Unknown Culture,House Norridge,NA,Elyn Norridge,Elyn Norridge,Elyn Norridge,female,Unknown Culture
Garlan Tyrell,Unknown Culture,House Tyrell,House Tyrell,Garlan Tyrell,Garlan Tyrell,Garlan Tyrell,male,Unknown Culture
Hobber Redwyne,Reach,House Redwyne,NA,Hobber Redwyne,Hobber Redwyne,Hobber Redwyne,male,Reach Cultures
Horas Redwyne,Reach,House Redwyne,NA,Horas Redwyne,Horas Redwyne,Horas Redwyne,male,Reach Cultures
Leo Blackbar,Unknown Culture,House Blackbar,NA,Leo Blackbar,Leo Blackbar,Leo Blackbar,male,Unknown Culture
